"Self-licking","",185.299,186.96,1.661,""
"Self-licking","",208.27,210.42,2.15,""
"Self-licking","",211.45,212.18,0.73,""
"Self-licking","",213.11,214.17,1.06,""
"Self-licking","",215.06,216.54,1.48,""
"Self-licking","",219.51,220.56,1.05,""
"Self-licking","",349.48,350.15,0.67,""
"Allolicking","",118.53,131.13,12.6,""
"Allolicking","",221.694,222.17,0.476,""
"Allolicking","",223.83,229.55,5.72,""
"Allolicking","",238.03,239.1,1.07,""
"Allolicking","",246.78,292.51,45.73,""
"Allolicking","",293.22,340.73,47.51,""
"Allolicking","",351.81,357.01,5.2,""
"Allolicking","",359.816,359.997,0.181,""
"Allolicking","",384.738,388.509,3.771,""
"Allolicking","",399.48,408.1,8.62,""
"Allolicking","",429.27,430.91,1.64,""
"Allolicking","",547.96,554.0,6.04,""
"Allolicking","",566.52,567.14,0.62,""
"Allogrooming","",140.85,143.31,2.46,""
"Allogrooming","",150.23,153.77,3.54,""
"Allogrooming","",203.61,206.61,3.0,""
"Allogrooming","",209.214,217.76,8.546,""
"Allogrooming","",218.26,220.11,1.85,""
"Allogrooming","",232.15,233.49,1.34,""
"Allogrooming","",381.12,382.262,1.142,""
"Allogrooming","",555.9,558.39,2.49,""
