"self-licking","",24.518,24.578,0.06,""
"self-licking","",25.626,26.01,0.384,""
"self-licking","",27.268,27.558,0.29,""
"self-licking","",31.585,33.08,1.495,""
"self-licking","",57.296,59.39,2.094,""
"self-licking","",83.351,85.25,1.899,""
"self-licking","",279.813,282.19,2.377,""
"self-licking","",302.707,328.99,26.283,""
"self-licking","",334.579,335.098,0.519,""
"self-licking","",339.652,344.15,4.498,""
"self-licking","",547.662,552.488,4.826,""
"allolicking","",30.502,31.88,1.378,""
"allolicking","",39.724,40.48,0.756,""
"allolicking","",126.234,128.89,2.656,""
"allolicking","",165.398,171.66,6.262,""
"allolicking","",200.192,202.86,2.668,""
"allolicking","",328.99,329.24,0.25,""
"allogrooming","",62.747,63.587,0.84,""
"allogrooming","",68.296,71.98,3.684,""
"allogrooming","",136.43,139.818,3.388,""
"allogrooming","",156.03,159.51,3.48,""
